REST Server,server/gdial-rest.c,653,High,Logic Error,Invalid URI checked after copying truncated data to buffers. Should fail before buffer operations,invalid_uri = invalid_uri || (i > 4 || i < 2);,Validate URI structure before parsing and copying elements,Manual Analysis
REST Server,server/gdial-rest.c,880,High,URL Manipulation / Path Traversal,"URL_MANIPULATION: User-controlled path elements not validated for path traversal sequences (../, etc) before use","gchar **elements = g_strsplit(&path[1], ""/"", 4);",Sanitize path elements to prevent directory traversal attacks,Manual Analysis
REST Server,server/gdial-rest.c,881,Medium,Parameter Hiding,PW.PARAMETER_HIDDEN: Local variable 'query' shadows function parameter in nested scopes,GHashTable *query parameter used with local vars,Rename local variables to avoid shadowing function parameters,Manual Analysis
REST Server,server/gdial-rest.c,982,Medium,Race Condition,"app_state checked without lock, but state may change between check and use in concurrent environment",if (app_state == GDIAL_APP_STATE_STOPPED) { g_object_unref(app); },Add mutex protection around app state checks and modifications,Manual Analysis
REST Server,server/gdial-rest.c,1095,Low,Code Quality,Complex nested if-else structure with multiple return points makes code hard to maintain and verify correctness,Multiple nested if/else blocks in gdial_rest_http_server_apps_callback,Refactor into smaller functions with single responsibility,Manual Analysis
REST Server,server/gdial-rest.c,1173,Medium,Format String Issue,PRINTF_ARGS: app_name used in format string without validation in gdial_rest_server_register_app,GDIAL_LOGINFO messages with unchecked string parameters,Validate all string parameters before use in format strings,Manual Analysis
REST Server,server/gdial-rest.c,1205,Medium,Format String Issue,PRINTF_ARGS: Similar format string issue in gdial_rest_server_register_app_registry,GDIAL_LOGINFO with app_registry->name without validation,Add input validation before logging,Manual Analysis
REST Server,server/gdial-rest.c,1337,Medium,Memory Leak,GET_APP_response_builder_new allocates memory but may leak if subsequent operations fail,GDialServerResponseBuilderGetApp *rbuilder = (GDialServerResponseBuilderGetApp *) malloc(sizeof(*rbuilder));,Ensure builder is destroyed in all error paths,Manual Analysis
REST Server,server/gdial-rest.c,1351,Medium,Memory Leak,GET_APP_response_builder_set_option may leak if option_name already exists in hash table (comment indicates this),// note that this will leak if option_name key is already in the table,"Use g_hash_table_replace instead of insert, or check for existing key first",Manual Analysis
REST Server,server/gdial-rest.c,1395,Critical,Null Pointer Dereference,GET_APP_response_builder_build: g_string_new_len may return NULL but is dereferenced without check,"GString *rbuf = g_string_new_len('\0', 128); if(rbuf == NULL){ return NULL; }","Check rbuf before any operations, move NULL check before use",Manual Analysis
REST Server,server/gdial-util.c,85,Medium,Logic Error,gdial_util_str_str_hashtable_merge may have undefined behavior when dst and src overlap or share keys,"g_hash_table_replace(dst, key, value);","Document whether dst and src can overlap, or add explicit check and copy behavior",Manual Analysis
REST Server,server/gdial-util.c,135,Low,Type Cast Error,Incorrect cast of key to GHashTable pointer in g_hash_table_lookup call,"value2 = g_hash_table_lookup((GHashTable *)ht2, (GHashTable *)key);",Remove erroneous GHashTable cast for key parameter - should be gconstpointer,Manual Analysis
SSDP,server/gdial-ssdp.c,88,Medium,Race Condition,ssdp_http_server_callback: dd_xml_response_str_ is checked and used without proper synchronization in multi-threaded environment,if (!dd_xml_response_str_) { ... },Ensure mutex is held during entire check-and-set operation to prevent race conditions,Manual Analysis
SSDP,server/gdial-ssdp.c,119,High,Resource Leak,"If g_strdup_printf fails and returns NULL for application_url_str, memory leak occurs as dd_xml_response_str_ is not freed",gchar *application_url_str = g_strdup_printf(...); if ( application_url_str ) { ... },Ensure dd_xml_response_str_ is freed in error paths or use proper cleanup,Manual Analysis
SSDP,server/gdial-ssdp.c,160,Medium,Memory Leak,"gdial_ssdp_networkstandbymode_handler: dial_ssdp_WAKEUP set to NULL after g_free but variable is local, redundant NULL assignment",g_free(dial_ssdp_WAKEUP); dial_ssdp_WAKEUP = NULL;,Remove redundant NULL assignment for local variables,Manual Analysis
SSDP,server/gdial-ssdp.c,187,Critical,Null Pointer Dereference,"iface_ipv4_address assigned from function that may return NULL, used later without check",iface_ipv4_address = gdial_plat_util_get_iface_ipv4_addr(gdial_options_->iface_name); if (!iface_ipv4_address) { return EXIT_FAILURE; },Check is present but ensure all code paths verify before use,Manual Analysis
SSDP,server/gdial-ssdp.c,230,Medium,Resource Leak,Multiple g_strdup_printf calls with local variables set to NULL after free - pattern indicates potential previous memory leaks,g_free(dial_ssdp_WAKEUP); dial_ssdp_WAKEUP = NULL;,Review all allocation/free patterns for consistency,Manual Analysis
SSDP,server/gdial-ssdp.c,274,High,Missing Lock / Race Condition,MISSING_LOCK: gdial_ssdp_destroy accesses global variables without mutex protection while other functions use ssdpServerEventSync,if (dd_xml_response_str_) { g_free(dd_xml_response_str_); },Acquire ssdpServerEventSync mutex before accessing shared global variables in cleanup,Manual Analysis
SSDP,server/gdial-ssdp.c,323,Medium,Race Condition,"gdial_ssdp_set_friendlyname: dd_xml_response_str_ freed and set to NULL under lock, but may be recreated by concurrent callback",if (dd_xml_response_str_!= NULL){ g_free(dd_xml_response_str_); dd_xml_response_str_ = NULL; },Ensure proper serialization of all access to dd_xml_response_str_,Manual Analysis
Shield,server/gdial-shield.c,45,High,Use After Free,server_request_remove_callback frees conn_context but msg key may still be in hash table during concurrent access,g_free(conn_context); conn_context = NULL;,Ensure hash table removal happens before freeing context,Manual Analysis
Shield,server/gdial-shield.c,54,Critical,Null Pointer Dereference,soup_message_read_timeout_callback: conn_context retrieved but not checked for NULL before dereferencing,"DialShieldConnectionContext * conn_context = (DialShieldConnectionContext *)g_hash_table_lookup(active_conns_, msg); if (conn_context) { conn_context->read_timeout_source = 0; }","Check is present, ensure it's always used",Manual Analysis
Shield,server/gdial-shield.c,88,Medium,Race Condition,"Multiple callbacks (started, read, aborted, finished) access active_conns_ hash table without synchronization","g_hash_table_insert(active_conns_, msg, conn_context);",Add mutex protection for all hash table operations,Manual Analysis
Shield,server/gdial-shield.c,123,Low,Resource Leak,"If g_new fails (returns NULL), timeout source is already added and will never be removed","DialShieldConnectionContext *conn_context = g_new(DialShieldConnectionContext, 1);","Check g_new return value before adding timeout, or use g_new that aborts on failure",Manual Analysis
GDIAL Core,server/gdial-app.c,176,Medium,Unchecked Return Value,"compare_versions: sscanf return value not checked, may fail to parse version strings correctly","sscanf(version1, ""%u.%u.%u"", &major1, &minor1, &bugfix1);",Check sscanf return value to ensure proper parsing,Manual Analysis
GDIAL Core,server/gdial-app.c,218,Medium,Logic Error,"gdial_app_start: app_err may be overwritten even when start succeeds, losing original error state",if (app_err == GDIAL_APP_ERROR_NONE || ...) { ... app_err = gdial_plat_application_state(...); },Preserve original error code if start succeeded,Manual Analysis
GDIAL Core,server/gdial-app.c,330,High,Memory Leak,"gdial_app_set_additional_dial_data: if gdial_util_str_str_hashtable_dup fails and returns NULL, memory leak occurs",priv->additional_dial_data = gdial_util_str_str_hashtable_dup(additional_dial_data);,Check return value and handle NULL case appropriately,Manual Analysis
GDIAL Core,server/gdial-app.c,363,Medium,Resource Leak,gdial_app_refresh_additional_dial_data: data allocated but may not be freed if gdial_util_str_str_hashtable_from_string fails,"if (data) { gdial_util_str_str_hashtable_from_string(data, length, priv->additional_dial_data); }",Ensure data is always freed in all code paths,Manual Analysis
GDIAL Core,server/gdial-app.c,397,High,Resource Leak,gdial_app_write_additional_dial_data: Multiple error paths don't clean up gfile_ios before returning,if (g_output_stream_write(...) == (gssize)length) { result = TRUE; } else { ... } g_object_unref(gfile_ios);,Ensure g_object_unref is called in all error paths,Manual Analysis
GDIAL Core,server/gdial-app.c,425,Critical,Memory Allocation Error,gdial_app_read_additional_dial_data: *data allocated with malloc but should use g_malloc for consistency with g_free,*data = malloc(fsize+1);,Use g_malloc instead of malloc for GLib memory management consistency,Manual Analysis
GDIAL Core,server/gdial-app.c,435,Medium,Resource Leak,"If g_input_stream_read fails, *data is allocated but not freed before function returns FALSE",if (g_input_stream_read(...) == fsize) { ... result = TRUE; },Free *data in error paths before returning,Manual Analysis
GDIAL Core,server/gdial-app.c,474,Low,Code Quality,gdial_app_state_response_new: Complex XML construction without proper error handling for xmlNew* functions,"xmlNodePtr nservice = xmlNewNode(NULL, BAD_CAST ""service"");",Add NULL checks for all XML node creation functions,Manual Analysis
Platform Layer,server/plat/gdial.cpp,65,High,Uninitialized Memory,"UNINIT_CTOR: GDialCastObject constructor doesn't initialize members, leading to undefined behavior",GDialCastObject(){},Initialize all member variables in constructor,Manual Analysis
Platform Layer,server/plat/gdial.cpp,85,Critical,Memory Leak,applicationStateChanged: AppObj allocated with new but not always deleted on error paths,AppInfo* AppObj = new AppInfo(...); if (nullptr != AppObj) { ... },Use smart pointers or ensure delete in all paths,Manual Analysis
Platform Layer,server/plat/gdial.cpp,127,Medium,Resource Leak,registerApplications: gAppPrefxes and allowed_origins lists not freed if loop breaks early,if (DIAL_MAX_NUM_OF_APPS<=i) { break; },Ensure all allocated GList objects are freed before break,Manual Analysis
Platform Layer,server/plat/gdial.cpp,145,High,Memory Leak,gProperties hash table and its keys/values may leak if app_registry creation fails,GHashTable *gProperties = g_hash_table_new_full(...);,Add error handling and cleanup for hash table creation failure,Manual Analysis
Platform Layer,server/plat/gdial.cpp,168,Medium,Resource Leak,gAppList freed but individual app_registry objects not properly destroyed,if (gAppList) { g_list_free (gAppList); gAppList = NULL; },Use g_list_free_full with proper destructor for app_registry objects,Manual Analysis
Platform Layer,server/plat/gdialappcache.cpp,76,Medium,Unused Return Value,UNUSED_VALUE: UpdateAppStatusCache: err variable assigned but previous value from erase() not checked,"err = ObjectCache->erase(id); err = ObjectCache->insert(std::move(id),appEntry);",Check return value of erase() before proceeding with insert(),Manual Analysis
Platform Layer,server/plat/gdialappcache.cpp,40,Low,Uninitialized Members,UNINIT_CTOR: GDialAppStatusCache constructor doesn't initialize ObjectCache pointer,GDialAppStatusCache() constructor missing in shown code,Initialize ObjectCache to nullptr in constructor,Manual Analysis
Platform Layer,server/plat/gdialappcache.cpp,96,Critical,Null Pointer Dereference,SearchAppStatusInCache: appEntry from findObject() not checked for NULL before dereferencing,AppInfo* appEntry = ObjectCache->findObject(id); state = appEntry->appState;,Add NULL check for appEntry before accessing members,Manual Analysis
Platform Layer,server/plat/gdial-plat-util.c,48,Medium,Buffer Overflow,strncpy may not null-terminate ifr.ifr_name if ifname is exactly IFNAMSIZ bytes,"strncpy(ifr.ifr_name, ifname, IFNAMSIZ-1); ifr.ifr_name[IFNAMSIZ-1] = '\0';",Good - null termination is added. Verify IFNAMSIZ-1 is correct,Manual Analysis
Platform Layer,server/plat/gdial-plat-util.c,66,Low,Resource Leak,Socket not closed if inet_ntop fails,"if (inet_ntop(AF_INET, ...)) { result = iface_ipv4_addr; } close(sock);","Ensure close() is called in all paths (it is, but worth verifying)",Manual Analysis
Platform Layer,server/plat/gdial-plat-util.c,126,Medium,Format String Vulnerability,PRINTF_ARGS: gdial_plat_util_log uses vsnprintf with user-controlled format string,"vsnprintf(formatted, kFormatMessageSize, format, argptr);",Validate format string or document that callers must use trusted formats,Manual Analysis
Platform Layer,server/plat/gdial-plat-util.c,133,Low,Code Quality,"basename() is not thread-safe, may cause issues in multi-threaded environment",basename(file),Use thread-safe alternative or document thread-safety requirements,Manual Analysis
GDIAL Core,server/gdialserver_ut.cpp,232,Medium,Unused Value,UNUSED_VALUE: Return value of main() function operations not used properly,Test harness code,Review test code for proper return value handling,Manual Analysis
